epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.5738,2.25419,3.17529,2.39318,0.00491,0.93333,0.35308,0.21418,0.7648,3.41732,1.18461,0.00018337,0.00018337,0.00018337
2,174.389,1.79144,2.75071,2.14186,0.00397,0.63333,0.47631,0.27665,0.60452,3.29247,0.81413,0.000364431,0.000364431,0.000364431
3,260.258,1.74665,2.61612,2.08151,0.00445,0.5402,0.22753,0.09922,1.11838,4.04262,1.21082,0.000525688,0.000525688,0.000525688
4,345.796,1.64682,2.6376,2.06851,0.57509,0.48039,0.19362,0.12819,1.31844,3.9891,1.01814,0.000667142,0.000667142,0.000667142
5,426.453,1.6361,2.5212,2.03527,0.5515,0.4902,0.11497,0.09371,0.70587,3.31104,0.73429,0.000788791,0.000788791,0.000788791
6,510.61,1.60734,2.50205,2.03301,0.53585,0.46078,0.08628,0.03372,1.70851,7.99555,1.55926,0.000890636,0.000890636,0.000890636
7,595.338,1.53828,2.41912,1.98394,0.25637,0.57343,0.19575,0.05989,2.53425,9.17443,2.14159,0.000972678,0.000972678,0.000972678
8,763.412,1.56095,2.43579,2.0214,0.20962,0.59706,0.18973,0.09275,2.37592,14.9159,1.85173,0.00103492,0.00103492,0.00103492
9,899.559,1.5633,2.40071,2.00086,0.36705,0.5721,0.2214,0.09376,1.9242,16.7207,1.60935,0.00100687,0.00100687,0.00100687
10,973.066,1.555,2.36164,1.95901,0.35222,0.70784,0.31214,0.16811,1.30816,10.0943,1.27029,0.000924352,0.000924352,0.000924352
11,1043.83,0.69955,2.12168,1.35757,0.94579,0.44839,0.61509,0.46268,0.69919,3.57423,0.78169,0.000841835,0.000841835,0.000841835
12,1115.69,0.57278,1.55705,1.25612,0.60343,0.74648,0.868,0.72134,0.46114,3.87794,0.50164,0.000759318,0.000759318,0.000759318
13,1186.33,0.46549,1.17468,1.17848,0.93294,0.83236,0.87341,0.70037,0.3854,1.37708,0.42553,0.000676802,0.000676802,0.000676802
14,1252.72,0.43607,1.06976,1.13012,0.97324,0.82222,0.88484,0.70925,0.40995,0.96513,0.46443,0.000594286,0.000594286,0.000594286
15,1320.65,0.36222,0.97531,1.06537,0.87932,0.89668,0.92937,0.75069,0.46896,1.47785,0.54873,0.000511769,0.000511769,0.000511769
16,1387.89,0.32731,0.83848,1.04166,0.89303,0.9625,0.9549,0.76855,0.35849,1.06733,0.42796,0.000429253,0.000429253,0.000429253
17,1454.85,0.30487,0.80905,1.0361,0.91578,0.89406,0.93732,0.74307,0.4052,1.00788,0.46469,0.000346736,0.000346736,0.000346736
18,1522.77,0.25967,0.74292,1.0084,0.96481,0.84688,0.94908,0.7862,0.34558,1.16452,0.42245,0.00026422,0.00026422,0.00026422
19,1588.38,0.26427,0.73419,1.00804,0.94434,0.86199,0.94608,0.80348,0.37981,1.16612,0.47736,0.000181703,0.000181703,0.000181703
20,1657.24,0.24622,0.72783,0.99665,0.86378,0.95,0.95035,0.81158,0.38033,1.01375,0.48303,9.91865e-05,9.91865e-05,9.91865e-05
